,Phoneme,OccurencePLLR,Age,Speaker,Filename,Stops,UnvoicedFricatives,VoicedFricatives,LiquidApproximants,GlideApproximants,Nasals,Vowels,Obstruents,Affricates
0,AA,-3.3970104219452737,4.583333333333333,0407_M_SJ,0407_M_SJs3T06,False,False,False,False,False,False,True,False,False
1,AA,-2.708075887094086,4.583333333333333,0407_M_SJ,0407_M_SJs6T10,False,False,False,False,False,False,True,False,False
2,AA,-2.360193958459315,4.583333333333333,0407_M_SJ,0407_M_SJs5T03,False,False,False,False,False,False,True,False,False
3,AA,-2.758572580816548,4.583333333333333,0407_M_SJ,0407_M_SJs5T02,False,False,False,False,False,False,True,False,False
4,AA,-3.2900003848456554,4.583333333333333,0407_M_SJ,0407_M_SJs6T02,False,False,False,False,False,False,True,False,False
5,AA,-2.89273135514662,4.583333333333333,0407_M_SJ,0407_M_SJs6T02,False,False,False,False,False,False,True,False,False
6,AA,-2.951976183368786,4.583333333333333,0407_M_SJ,0407_M_SJwT27,False,False,False,False,False,False,True,False,False
7,AA,-2.819336517927266,4.583333333333333,0407_M_SJ,0407_M_SJs2T07,False,False,False,False,False,False,True,False,False
8,AA,-2.5985991618092554,4.583333333333333,0407_M_SJ,0407_M_SJwT28,False,False,False,False,False,False,True,False,False
9,AA,-2.983075311034258,4.583333333333333,0407_M_SJ,0407_M_SJs2T08,False,False,False,False,False,False,True,False,False
10,AA,-3.0545074405316286,4.583333333333333,0407_M_SJ,0407_M_SJwT16,False,False,False,False,False,False,True,False,False
11,AA,-2.693324351399845,4.583333333333333,0407_M_SJ,0407_M_SJwT29,False,False,False,False,False,False,True,False,False
12,AA,-2.9326813117331665,4.583333333333333,0407_M_SJ,0407_M_SJs5T08,False,False,False,False,False,False,True,False,False
13,AA,-3.565111104381136,4.583333333333333,0407_M_SJ,0407_M_SJs6T01,False,False,False,False,False,False,True,False,False
14,AA,-3.767246336945164,4.583333333333333,0407_M_SJ,0407_M_SJs4T07,False,False,False,False,False,False,True,False,False
15,AA,-2.8881315877768734,4.583333333333333,0407_M_SJ,0407_M_SJwT34,False,False,False,False,False,False,True,False,False
0,AE,-2.9703045416522533,4.583333333333333,0407_M_SJ,0407_M_SJwT15,False,False,False,False,False,False,True,False,False
